resource_uid,state_abbr,tract_id_alias,source_resource_id,resource_type,system_type,depth_m,n_wellsets_in_tract,res_temp_deg_c,lifetime_resource_per_wellset_mwh,dist_km,county_id
109497,ID,2783,ID029,hydrothermal,isolated system,80.0,1,64.0,4444444.444,12.6468269814895,2026
109498,ID,2783,ID255,hydrothermal,isolated system,80.0,1,65.0,4444444.444,7.97707643770559,2026
109378,ID,65217,ID027,hydrothermal,isolated system,432.0,1,83.0,6111111.111,5.54946646997655,2026
109380,ID,65217,Z104,hydrothermal,isolated system,432.0,1,90.0,8055555.556,5.50807365273673,2026
109448,ID,65217,DA067,hydrothermal,delineated area,615.0,1,62.0,1159864.142,0.0,2026
109452,ID,65217,ID457,hydrothermal,isolated system,615.0,1,57.0,3888888.889,0.0,2026
109453,ID,65217,ID474,hydrothermal,isolated system,615.0,1,67.0,4722222.222,0.0,2026
109371,ID,22874,ID073,hydrothermal,isolated system,9.0,1,85.0,6388888.889,10.0885729502365,1266
109373,ID,22874,ID075,hydrothermal,isolated system,9.0,1,41.0,2222222.222,12.0142420977302,1266
109375,ID,22874,ID078,hydrothermal,isolated system,9.0,1,60.0,4166666.667,11.133453155943,1266
109377,ID,22874,Z124,hydrothermal,isolated system,9.0,1,105.0,11666666.667,9.82536338931415,1266
109423,ID,22874,ID049,hydrothermal,isolated system,424.0,1,89.0,6666666.667,0.0,1266
109424,ID,22874,Z122,hydrothermal,isolated system,424.0,1,100.0,10277777.778,0.0,1266
109422,ID,22874,ID044,hydrothermal,isolated system,424.0,1,86.0,6388888.889,0.0,1266
109303,ID,41922,DA056,hydrothermal,delineated area,58.0,11,48.0,580101.796,0.0,333
109404,ID,64889,ID431,hydrothermal,isolated system,204.0,1,45.0,2777777.778,0.0,1394
109403,ID,64889,ID385,hydrothermal,isolated system,204.0,1,58.0,3888888.889,0.0,1394
109401,ID,64889,ID331,hydrothermal,isolated system,204.0,1,76.0,5555555.556,0.0,1394
109405,ID,64889,Z119,hydrothermal,isolated system,204.0,1,100.0,10277777.778,0.0,1394
109400,ID,64889,ID300,hydrothermal,isolated system,204.0,1,77.0,5555555.556,0.0,1394
109402,ID,64889,ID348,hydrothermal,isolated system,204.0,1,39.0,2222222.222,0.0,1394
109398,ID,64889,DA051,hydrothermal,delineated area,204.0,153,40.0,424310.162,0.0,1394
109399,ID,64889,DA057,hydrothermal,delineated area,124.0,178,35.0,339336.242,0.0,1394
109392,ID,10605,DA057,hydrothermal,delineated area,103.0,13,35.0,330842.132,0.0,1371
109393,ID,10605,DA058,hydrothermal,delineated area,100.0,21,32.0,282210.159,0.0,1371
109397,ID,57801,DA058,hydrothermal,delineated area,100.0,1,32.0,179068.629,0.0,1371
109396,ID,39913,DA058,hydrothermal,delineated area,100.0,1,32.0,414210.431,0.0,1371
109395,ID,37414,DA058,hydrothermal,delineated area,100.0,1,32.0,338422.21,0.0,1371
109394,ID,24315,DA058,hydrothermal,delineated area,100.0,3,32.0,287300.482,0.0,1371
109391,ID,57907,DA058,hydrothermal,delineated area,100.0,1,32.0,146210.216,0.0,1371
109389,ID,53931,DA058,hydrothermal,delineated area,100.0,3,32.0,266120.74,0.0,1371
109387,ID,36087,DA058,hydrothermal,delineated area,100.0,1,32.0,346938.178,0.0,1371
109385,ID,33000,DA058,hydrothermal,delineated area,100.0,14,32.0,283923.908,0.0,1371
109384,ID,18064,DA058,hydrothermal,delineated area,100.0,2,32.0,350107.362,0.0,1371
109379,ID,10263,DA058,hydrothermal,delineated area,100.0,1,32.0,162542.208,0.0,1371
109301,ID,67372,DA058,hydrothermal,delineated area,100.0,5,32.0,278250.485,0.0,1371
109411,ID,34189,ID228,hydrothermal,isolated system,511.0,1,85.0,6388888.889,0.0,2778
109412,ID,34189,Z112,hydrothermal,isolated system,511.0,1,95.0,9166666.667,0.0,2778
109414,ID,34189,ID225,hydrothermal,isolated system,511.0,1,72.0,5277777.778,0.0,2778
109409,ID,34189,Z133,hydrothermal,isolated system,511.0,1,130.0,18611111.111,0.0,2778
109410,ID,34189,ID227,hydrothermal,isolated system,511.0,1,71.0,5000000.0,0.0,2778
109416,ID,34189,Z140,hydrothermal,isolated system,511.0,1,99.0,7500000.0,0.0,2778
109415,ID,34189,ID226,hydrothermal,isolated system,511.0,1,64.0,4444444.444,0.0,2778
109413,ID,34189,Z132,hydrothermal,isolated system,511.0,1,130.0,18611111.111,0.0,2778
109407,ID,19090,ID400,hydrothermal,isolated system,300.0,1,49.0,3055555.556,0.0,2864
109417,ID,9027,ID399,hydrothermal,isolated system,388.0,1,45.0,2777777.778,12.8156445314355,2711
109431,ID,34468,ID046,hydrothermal,isolated system,193.0,1,87.0,6388888.889,0.0,1266
109430,ID,34468,ID045,hydrothermal,isolated system,193.0,1,62.0,4166666.667,0.0,1266
109434,ID,34468,Z128,hydrothermal,isolated system,193.0,1,110.0,12777777.778,0.0,1266
109429,ID,34468,ID043,hydrothermal,isolated system,193.0,1,38.0,1944444.444,0.0,1266
109432,ID,34468,ID047,hydrothermal,isolated system,193.0,1,50.0,3055555.556,0.0,1266
109419,ID,3314,ID271,hydrothermal,isolated system,919.0,1,44.0,2500000.0,0.0,1244
109304,ID,3314,DA062,hydrothermal,delineated area,188.0,18,57.0,725464.913,0.0,1244
109428,ID,21504,ID131,hydrothermal,isolated system,173.0,1,39.0,2222222.222,17.5521988232752,1116
109315,ID,34866,DA042,hydrothermal,delineated area,156.0,128,47.0,543478.542,0.0,1116
109317,ID,34866,DA045,hydrothermal,delineated area,136.0,8,60.0,747721.836,0.0,1116
109316,ID,34866,DA046,hydrothermal,delineated area,352.0,61,40.0,423873.339,0.0,1116
109426,ID,1746,DA041,hydrothermal,delineated area,271.0,42,63.0,818857.962,0.0,1116
109427,ID,1746,DA044,hydrothermal,delineated area,78.0,33,53.0,654019.842,0.0,1116
109425,ID,45204,DA062,hydrothermal,delineated area,150.0,2,57.0,606429.748,0.0,1244
109421,ID,49450,DA062,hydrothermal,delineated area,96.0,10,57.0,690329.881,0.0,1244
109437,ID,39366,Z135,hydrothermal,isolated system,321.0,1,150.0,25555555.556,17.2387386212458,1633
109438,ID,11423,DA059,hydrothermal,delineated area,932.0,2,67.0,817742.255,0.0,2079
109439,ID,43045,DA059,hydrothermal,delineated area,414.0,4,67.0,775761.695,0.0,2079
109440,ID,44497,DA059,hydrothermal,delineated area,523.0,1,67.0,690433.767,0.0,2079
109441,ID,47175,DA058,hydrothermal,delineated area,100.0,10,32.0,278892.099,0.0,2079
109442,ID,41429,ID483,hydrothermal,isolated system,215.0,1,38.0,1944444.444,0.0,2002
109443,ID,8483,DA059,hydrothermal,delineated area,187.0,3,67.0,745626.813,0.0,2079
109444,ID,13086,DA059,hydrothermal,delineated area,169.0,3,67.0,735473.375,0.0,2079
109445,ID,44593,DA059,hydrothermal,delineated area,498.0,1,67.0,1102038.512,0.0,2079
109446,ID,52507,DA059,hydrothermal,delineated area,1143.0,1,67.0,584994.221,0.0,2079
109447,ID,59141,DA059,hydrothermal,delineated area,493.0,6,67.0,934116.272,0.0,2079
109450,ID,35722,Z105,hydrothermal,isolated system,733.0,1,90.0,8055555.556,0.0,2002
109454,ID,11475,DA059,hydrothermal,delineated area,226.0,3,67.0,806287.095,0.0,2079
109455,ID,18457,DA059,hydrothermal,delineated area,463.0,1,67.0,1191076.351,0.0,2079
109456,ID,32454,DA060,hydrothermal,delineated area,109.0,5,43.0,477415.003,0.0,2079
109457,ID,59719,DA060,hydrothermal,delineated area,114.0,1,43.0,639182.938,0.0,2079
109458,ID,68440,DA063,hydrothermal,delineated area,272.0,6,80.0,1052094.663,0.0,2026
